1;2I RETE GAS SPA;2;8;2;17
2;3I GROUP PLC;3;10;3;43
3;A2A SPA;2;8;4;12
4;ABB FINANCE BV;2;16;5;24
5;ABBEY NATL TREASURY SERV;3;10;52;3
6;ABERTIS INFRAESTRUCTURAS;2;6;6;5
7;ABN AMRO BANK NV;3;9;7;3
8;ACCOR SA;2;1;8;26
9;ACEA SPA;2;8;9;12
10;ACHMEA BANK NV;3;9;10;3
11;ADECCO INT FINANCIAL SVS;2;16;11;5
12;AEGON NV;3;9;12;4
13;AEROPORTS DE PARIS;2;1;13;24
14;AGENCE FRANCAISE DEVELOP;2;1;14;3
15;AGENCE FRANCE LOCALE;3;1;15;53
16;AIR LIQUIDE FINANCE;2;1;16;27
17;AIR LIQUIDE SA;2;1;16;27
18;AIR PRODUCTS & CHEMICALS;2;3;17;27
19;AIRBUS FINANCE BV;2;1;18;21
20;AIRBUS GROUP FINANCE BV;2;1;18;21
21;AKTIA BANK PLC;3;15;19;3
22;AKZO NOBEL NV;2;9;20;27
23;ALD SA;3;1;21;5
24;ALLIANDER NV;2;9;23;12
25;ALLIANZ FINANCE II B.V.;3;2;24;4
26;ALLIANZ SE;3;2;24;4
27;ALSTOM SA;2;1;25;28
28;AMADEUS CAP MARKT;2;6;26;20
29;AMADEUS FINANCE BV;2;6;26;20
30;AMCOR LTD;2;17;27;29
31;AMERICA MOVIL SAB DE CV;2;17;28;2
32;AMERICAN HONDA FINANCE;2;17;29;19
33;AMERICAN INTL GROUP;3;3;30;4
34;AMGEN INC;2;3;31;30
35;ANGLO AMERICAN CAPITAL;2;10;32;18
36;ANHEUSER-BUSCH INBEV NV;2;5;33;34
37;ANHEUSER-BUSCH INBEV SA/;2;5;33;34
38;AP MOLLER-MAERSK A/S;2;11;34;35
39;APPLE INC;2;3;35;25
40;APRR SA;2;1;328;5
41;ARKEMA;2;1;37;27
42;ASF;2;1;44;5
43;ASSICURAZIONI GENERALI;3;8;38;4
44;AT&T INC;2;3;39;2
45;ATLANTIA SPA;2;8;40;5
46;ATLAS COPCO AB;2;17;41;14
47;AUCHAN HOLDING SA;2;1;42;11
48;AUST & NZ BANKING GROUP;3;17;43;3
49;AUTOROUTES DU SUD DE LA;2;1;44;5
50;AUTOSTRADE PER L'ITALIA;2;8;45;5
51;AVIVA PLC;3;10;47;4
52;AXA SA;3;1;48;4
53;BANCO BILBAO VIZCAYA ARG;3;6;50;3
54;BANCO DO BRASIL (CAYMAN);3;14;51;3
55;BANCO ESPANOL DE CREDITO;3;6;52;3
56;BANCO FINANC Y AHORROS;4;6;72;3
57;BANCO SANTANDER SA;3;6;52;3
58;BANCO SANTANDER TOTTA SA;3;8;53;3
59;BANK OF AMERICA CORP;3;3;54;3
60;BANKINTER SA;3;6;57;3
61;BANQUE FED CRED MUTUEL;3;1;58;3
62;BANQUE PSA FINANCE;3;1;59;19
63;BANQUE SOLFEA;3;1;153;6
64;BAO-TRANS ENTERPRISE;2;17;60;48
65;BARCLAYS BANK PLC;3;10;61;3
66;BARCLAYS PLC;2;10;61;3
67;BASF SE;2;2;62;27
68;BAT INTL FINANCE PLC;2;10;63;23
69;BAYER AG;2;2;64;32
70;BAYERISCHE LANDESBANK;3;2;65;3
71;BBVA SENIOR FINANCE SA;3;6;67;3
72;BELFIUS BANK SA/NV;3;5;68;3
73;BELGIUM KINGDOM;1;5;46;1
74;BERLIN HYP AG;3;2;70;3
75;BERTELSMANN SE & CO KGAA;2;2;71;8
76;BG ENERGY CAPITAL PLC;2;10;306;16
77;BHARTI AIRTEL INTERNATIO;2;9;73;2
78;BHP BILLITON FINANCE LTD;2;17;74;18
79;BHW BAUSPARKASSE AG;3;2;75;3
80;BILFINGER SE;2;2;76;24
81;BMW FINANCE NV;2;2;77;19
82;BMW US CAPITAL LLC;2;2;66;19
83;BNP PARIBAS;3;1;78;3
84;BNP PARIBAS FORTIS SA;3;1;78;3
85;BNZ INTL FUNDING/LONDON;3;17;56;3
86;BONOS Y OBLIG DEL ESTADO;1;6;159;1
87;BOS FINANCE AB;3;17;79;3
88;BOUYGUES SA;2;1;80;24
89;BP CAPITAL MARKETS PLC;2;10;81;16
90;BPCE SA;3;1;82;3
91;BRAMBLES FINANCE PLC;2;17;83;33
92;BRENNTAG FINANCE BV;2;2;84;27
93;BRFKREDIT A/S;3;11;85;6
94;BRISA CONCESSAO RODOV SA;2;13;86;5
95;BRISTOL-MYERS SQUIBB CO;2;3;87;32
96;BRITISH TELECOMMUNICATIO;2;10;88;2
97;BUNDESREPUB. DEUTSCHLAND;1;2;22;1
98;BUONI POLIENNALI DEL TES;1;8;205;1
99;BUREAU VERITAS SA;2;1;89;5
100;CAISSE CENT CREDIT IMMOB;3;1;116;3
101;CAISSE D'AMORT DETTE SOC;1;1;90;1
102;CAISSE FRANCAISE DE FIN;3;1;321;1
103;CAIXABANK SA;3;6;91;3
104;CAPGEMINI SA;2;1;92;25
105;CARGILL INC;2;3;93;23
106;CARLSBERG BREWERIES A/S;2;11;94;34
107;CARREFOUR BANQUE;3;1;95;3
108;CARREFOUR SA;2;1;95;11
109;CASINO GUICHARD PERRACHO;2;1;96;11
110;CASS RISP PARMA PIACENZA;3;8;115;3
111;CDC FINANCE - CDC IXIS;3;1;82;6
112;CESKE DRAHY;2;17;97;35
113;CEZ AS;2;17;98;12
114;CHINA CONSTRUCT BK ASIA;3;17;99;3
115;CIBA SPECIAL CHEM FIN LX;2;16;62;27
116;CIE DE SAINT-GOBAIN;2;1;109;38
117;CIE GEN ETAB MICHELIN;2;1;110;7
118;CIE PLASTIC OMNIUM SA;2;1;282;7
119;CITIGROUP INC;3;3;102;3
120;CLOVERIE PLC ZURICH INS;3;10;397;4
121;CNP ASSURANCES;3;1;104;4
122;COCA-COLA EUROPEAN PARTN;2;3;105;34
123;COCA-COLA HBC FINANCE BV;2;16;106;34
124;COMMERZBANK AG;3;2;107;3
125;COMMONWEALTH BANK AUST;3;17;108;3
126;COMPAGNIE FIN ET INDUS;2;1;101;5
127;COMPASS GROUP PLC;2;10;111;37
128;CONTI-GUMMI FINANCE B.V.;2;2;112;7
129;CONTINENTAL AG;2;2;112;7
130;COOPERATIEVE RABOBANK UA;3;9;113;3
131;COVENTRY BLDG SOCIETY;3;10;114;22
132;CREDIT AGRICOLE (LONDON);3;1;115;3
133;CREDIT AGRICOLE CARIPARM;3;1;115;3
134;CREDIT AGRICOLE CIB;3;1;115;3
135;CREDIT AGRICOLE LONDON;3;1;115;3
136;CREDIT AGRICOLE SA;3;1;115;3
137;CREDIT FONCIER DE FRANCE;3;1;82;3
138;CREDIT LOGEMENT SA;3;1;117;6
139;CREDIT MUTUEL ARKEA;3;1;118;3
140;CREDIT SUISSE AG LONDON;3;16;119;3
141;CRH FINANCE BV;2;18;120;38
142;CRITERIA CAIXA SA;3;6;121;6
143;CSSC CAPITAL 2015 LTD;2;17;100;50
144;DAA FINANCE PLC;2;18;122;24
145;DAIMLER AG;2;2;123;19
146;DANONE SA;2;1;124;11
147;DANSKE BANK A/S;3;11;125;3
148;DEKABANK DEUTSCHE GIRO;3;2;127;3
149;DELHAIZE LION/DE LEEUW;2;5;214;11
150;DELTA LLOYD NV;3;9;128;4
151;DEUT PFANDBRIEFBANK AG;3;2;132;3
152;DEUTSCHE BAHN FIN GMBH;2;2;129;35
153;DEUTSCHE BAHN FINANCE BV;2;2;129;35
154;DEUTSCHE BANK AG;3;2;130;3
155;DEUTSCHE BOERSE AG;3;2;131;6
156;DEUTSCHE POST AG;2;2;133;35
157;DEUTSCHE POST FINANCE;2;2;133;35
158;DEUTSCHE TELEKOM INT FIN;2;2;134;2
159;DEUTSCHLAND I/L BOND;1;2;22;1
160;DEVELOPMENT BK OF JAPAN;2;17;135;3
161;DIAGEO FINANCE PLC;2;10;136;34
162;DIST INTER DE ALIMENTACI;2;6;137;11
163;DNB BANK ASA;3;17;138;3
164;DONG ENERGY A/S;2;11;274;12
165;DVB BANK SE;3;2;139;3
166;DZ BANK AG;3;2;140;3
167;E.ON INTL FINANCE BV;2;2;141;12
168;EDENRED;2;1;142;5
169;EDISON SPA;2;8;144;12
170;EDP FINANCE BV;2;13;145;12
171;EE FINANCE PLC;2;10;146;2
172;EESTI ENERGIA AS;2;17;147;12
173;ELECTRICITE DE FRANCE SA;2;1;143;12
174;ELIA SYSTEM OP SA/NV;2;5;148;12
175;ELISA OYJ;2;15;149;2
176;ELM BV (SWISS LIFE);3;16;343;4
177;ELM BV (SWISS REIN CO);3;16;344;4
178;EMD MILLIPORE CORP;2;3;243;30
179;ENAGAS FINANCIACIONES SA;2;6;150;17
180;ENBW;2;2;151;12
181;ENBW INTL FINANCE BV;2;2;151;12
182;ENEL FINANCE INTL NV;2;8;152;12
183;ENEL SPA;2;8;152;12
184;ENGIE SA;2;1;153;12
185;ENI SPA;2;8;154;16
186;EP ENERGY AS;2;17;155;12
187;ERICSSON LM;2;17;348;2
188;ERSTE GROUP BANK AG;3;4;156;3
189;ESB FINANCE DAC;2;18;158;12
190;EUROPEAN UNION;1;7;160;1
191;EUTELSAT SA;2;1;161;2
192;EWE AG;2;2;162;12
193;EXOR NV;3;8;163;39
194;EXPERIAN FINANCE PLC;2;10;164;5
195;F VAN LANSCHOT BANKIERS;3;9;165;3
196;FCA BANK SPA IRELAND;2;8;166;6
197;FCE BANK PLC;2;10;167;19
198;FERROVIAL EMISIONES SA;2;6;168;24
199;FIDELITY INTERNATIONAL L;3;17;169;6
200;FONCIERE DES REGIONS;3;1;170;36
201;FONCIERE LYONNAISE;3;1;329;36
202;FORTUM OYJ;2;15;171;12
203;FRANCE (GOVT OF);1;1;1;1
204;G4S INTL FINANCE PLC;2;10;172;5
205;GAS NATURAL CAPITAL;2;6;173;17
206;GAS NATURAL FENOSA FINAN;2;6;173;12
207;GAS NETWORKS IRELAND;2;18;157;17
208;GAZPROM (GAZ CAPITAL SA);2;12;174;16
209;GAZPROM NEFT (GPN CAPITA;2;12;174;16
210;GE CAPITAL EURO FUNDING;2;3;177;6
211;GE CAPITAL TRUST II;3;3;177;6
212;GE CAPITAL TRUST IV;3;3;177;6
213;GEA GROUP AG;2;2;175;28
214;GECINA;3;1;176;36
215;GELF BOND ISSUER I SA;3;1;182;36
216;GENERAL ELECTRIC CO;3;3;177;41
217;GERRESHEIMER AG;2;2;178;29
218;GLAXOSMITHKLINE CAPITAL;2;10;179;32
219;GLENCORE FIN DUBAI LTD;2;10;180;18
220;GLENCORE FINANCE CANADA;2;16;180;18
221;GLENCORE FINANCE EUROPE;2;10;180;18
222;GLOBAL SWITCH HOLDINGS L;2;10;222;2
223;GOLDMAN SACHS GROUP INC;3;3;181;3
224;GOVERNOR & CO OF THE BAN;3;18;55;3
225;GROUPAMA SA;3;1;183;4
226;GROUPEMENT DES CHU/CHR;2;1;184;40
227;HAMMERSON PLC;3;10;185;36
228;HAVAS SA;2;1;186;9
229;HEATHROW FUNDING LTD;2;10;187;24
230;HEINEKEN NV;2;9;188;34
231;HELLA GMBH & CO KGAA;2;2;189;7
232;HELLA KGAA HUECK & CO;2;2;189;7
233;HERA SPA;2;8;190;12
234;HERAEUS FINANCE GMBH;2;2;238;41
235;HOLDING D'INFRASTRUCTURE;2;6;6;5
236;HSBC BANK PLC;3;10;192;3
237;HSBC CAPITAL FUNDING LP;3;10;192;3
238;HSBC FINANCE CORP;3;3;192;6
239;HSBC FRANCE;3;1;192;3
240;HSBC HOLDINGS PLC;3;10;192;3
241;HSH NORDBANK AG;3;2;193;3
242;HUTCH WHAMPOA EUR FIN 12;2;17;103;33
243;HUTCH WHAMPOA EUR FIN 13;2;17;103;33
244;HUTCH WHAMPOA FINANCE 06;2;17;103;33
245;HUTCH WHAMPOA FINANCE 09;2;17;103;33
246;HYPO NOE LB NOE WIEN AG;3;4;366;3
247;HYPO TIROL BANK AG;3;4;366;3
248;HYPO VORARLBERG BANK AG;3;4;366;3
249;IBERDROLA FINANZAS SAU;2;6;194;12
250;IBERDROLA INTL BV;2;6;194;12
251;IBM CORP;2;3;201;25
252;ICADE;3;1;195;36
253;ICAP GROUP HOLDINGS PLC;2;10;262;6
254;ILIAD SA;2;1;196;10
255;IMERYS SA;2;1;197;38
256;IMPERIAL BRANDS FIN PLC;2;10;198;23
257;ING BANK NV;3;9;199;3
258;ING GROEP NV;3;9;199;3
259;INNOGY FINANCE BV;2;2;200;12
260;INTESA SANPAOLO SPA;3;8;202;3
261;INTESA SANPAOLO VITA;3;8;202;4
262;INVESTOR AB;3;17;203;39
263;ISS GLOBAL A/S;2;11;204;5
264;ITALY GOV'T INT BOND;1;8;205;1
265;JCDECAUX SA;2;1;206;9
266;JOHN DEERE BANK SA;2;3;207;28
267;JOHNSON & JOHNSON;2;3;208;32
268;JP MORGAN CHASE BANK NA;3;3;209;3
269;JPMORGAN CHASE & CO;3;3;209;3
270;K+S AG;2;2;210;27
271;KBC GROEP NV;3;5;211;3
272;KBC GROUP NV;3;5;211;3
273;KBC IFIMA SA;3;5;211;3
274;KERING;2;1;212;44
275;KFW;4;2;218;3
276;KLEPIERRE;3;9;213;36
277;KONINKLIJKE DSM NV;2;9;215;27
278;KONINKLIJKE KPN NV;2;9;216;2
279;KOREA GAS CORP;2;17;217;17
280;KUTXABANK SA;3;6;219;3
281;LA BANQUE POSTALE;3;1;220;3
282;LA POSTE SA;2;1;221;35
283;LANDBK HESSEN-THUERINGEN;3;2;224;3
284;LANDESBANK BERLIN AG;3;2;223;3
285;LANXESS AG;2;2;225;27
286;LASER COFINOGA;3;1;78;6
287;LEASEPLAN CORPORATION NV;3;9;226;6
288;LEASEPLAN FINANCE NV;3;9;226;6
289;LEGRAND SA;2;1;227;45
290;LINDE FINANCE BV;2;2;228;27
291;LINEA GROUP HOLDING SPA;2;8;4;33
292;LLOYDS BANK PLC;3;10;229;3
293;LOUIS DREYFUS CO BV;2;1;230;23
294;LUXOTTICA GROUP SPA;2;8;231;44
295;LVMH MOET HENNESSY VUITT;2;1;248;13
296;MACIF;3;1;232;4
297;MACQUARIE BANK LTD;3;17;234;3
298;MADRILENA RED DE GAS FIN;2;6;235;17
299;MAN SE;2;2;236;28
300;MANPOWERGROUP;2;3;237;5
301;MCDONALD'S CORP;2;3;240;44
302;MEDIOBANCA;3;8;241;3
303;MEDIOBANCA SPA;3;8;241;3
304;MERCIALYS SA;3;1;242;36
305;MET LIFE GLOB FUNDING I;3;3;245;4
306;METRO AG;2;2;244;11
307;METRO FINANCE BV;2;2;244;11
308;METSO OYJ;2;15;246;28
309;MFINANCE FRANCE SA;3;17;239;3
310;MICHELIN LUXEMBOURG SCS;2;1;110;7
311;MONDELEZ INTERNATIONAL;2;3;249;11
312;MONDI FINANCE PLC;2;10;250;46
313;MONTE DEI PASCHI SIENA;3;8;49;3
314;MORGAN STANLEY;3;3;251;3
315;MOTABILITY OPERATIONS GR;2;10;252;33
316;MTU AERO ENGINES AG;2;2;253;21
317;MUFG CAPITAL FIN 4 LTD;3;17;247;3
318;MUFG CAPITAL FINANCE 2;3;17;247;3
319;MUNICH RE;3;2;254;4
320;NATIONAL AUSTRALIA BANK;3;17;255;3
321;NATIONAL GRID NA INC;2;3;256;17
322;NATIONAL GRID PLC;2;10;256;17
323;NATIONWIDE BLDG SOCIETY;3;10;257;22
324;NATIXIS;3;1;258;3
325;NATIXIS LOAN FUNDING;3;1;258;6
326;NEDERLANDSE GASUNIE N.V.;2;9;259;17
327;NESTLE FINANCE INTL LTD;2;16;260;11
328;NETHERLANDS GOVERNMENT;1;9;191;1
329;NEW AREVA HOLDING SA;2;1;36;14
330;NEW YORK LIFE GLOBAL FDG;3;3;261;4
331;NEX GROUP HOLDINGS PLC;2;10;262;6
332;NIBC BANK NV;3;9;263;3
333;NN GROUP NV;3;9;264;4
334;NOMURA EUROPE FINANCE NV;3;17;265;6
335;NORDDEUTSCHE LANDESBANK;3;2;266;3
336;NORDEA BANK AB;3;17;267;3
337;NOVARTIS FINANCE SA;2;16;268;32
338;NV NEDERLANDSE GASUNIE;2;9;259;17
339;OBRIGACOES DO TESOURO;1;13;284;1
340;OMV AG;2;4;270;16
341;OP CORPORATE BANK PLC;3;15;271;3
342;ORANGE SA;2;1;272;2
343;ORIGIN ENERGY FINANCE;2;17;273;12
344;ORSTED A/S;2;11;274;12
345;PERNOD RICARD SA;2;1;275;34
346;PETROBRAS GLOBAL FINANCE;2;14;276;16
347;PETROL D.D. LJUBLJANA;2;17;277;16
348;PETROLEOS MEXICANOS;2;17;278;16
349;PFIZER INC;2;3;279;32
350;PGE SWEDEN AB;2;17;280;12
351;PGNIG FINANCE AB;2;17;283;16
352;PHILIP MORRIS INTL INC;2;3;281;23
353;PKO BNK POLSKI (PKO FIN);3;17;288;3
354;PORTUGAL TELECOM INT FIN;2;13;269;2
355;POSTE ITALIANE SPA;2;8;285;4
356;POSTE VITA SPA;3;8;286;4
357;POSTNL NV;2;9;287;35
358;PRINC FIN GLOBAL FND II;3;3;290;4
359;PROCTER & GAMBLE CO/THE;2;3;291;47
360;PROLOGIS INTL FUND II;3;3;292;31
361;PROSEGUR CIA DE SEGURIDA;2;6;293;5
362;PROXIMUS SADP;2;5;294;2
363;PZU FINANCE AB;3;17;289;4
364;RAIFFEISEN BANK INTL;3;4;295;3
365;RAIFFEISEN LB NIEDEROEST;3;16;296;3
366;RCI BANQUE SA;3;1;297;19
367;RED ELECTRICA FIN SA UNI;2;6;298;12
368;REN REDES ENERGETICAS;2;13;299;12
369;RENTOKIL INITIAL PLC;2;10;300;5
370;REPSOL INTL FINANCE;2;6;301;16
371;REPUBLIC OF AUSTRIA;1;4;46;1
372;ROBERT BOSCH GMBH;2;2;302;7
373;ROCHE FINANCE EUROPE BV;2;16;303;32
374;ROCHE HLDGS INC;2;16;303;40
375;ROYAL BK OF SCOTLAND PLC;3;10;305;3
376;ROYAL BK SCOTLND GRP PLC;3;10;304;3
377;RTE RESEAU DE TRANSPORT;2;1;307;12
378;RWE AG;2;2;308;12
379;RWE FINANCE BV;2;2;200;12
380;SABMILLER;2;10;309;34
381;SAMPO OYJ;3;15;310;4
382;SANOFI;2;1;311;32
383;SANTAN CONSUMER FINANCE;3;6;52;6
384;SANTANDER CONSUMER BANK;3;17;52;3
385;SANTANDER INTL DEBT SA;3;6;52;3
386;SANTANDER UK PLC;3;10;52;3
387;SANTOS FINANCE LTD;2;17;312;16
388;SBAB BANK AB;3;17;313;3
389;SCANIA CV AB;2;17;314;19
390;SCHLUMBERGER FINANCE BV;2;3;315;15
391;SCHNEIDER ELECTRIC SE;2;1;316;45
392;SCOR SE;3;1;317;4
393;SECURITAS AB;2;17;318;5
394;SES GLOBAL AMERICAS HLDG;2;17;319;2
395;SEVERN TRENT WATER UTIL;2;10;320;49
396;SG CAPITAL TRUST III;3;1;330;3
397;SHELL INTERNATIONAL FIN;2;9;306;16
398;SIEMENS FINANCIERINGSMAT;2;2;322;41
399;SKANDINAVISKA ENSKILDA;3;17;323;3
400;SKF AB;2;17;324;42
401;SMITHS GROUP PLC;2;10;325;41
402;SNAM SPA;2;8;326;17
403;SNCF MOBILITES EPIC;2;1;327;35
404;SNCF RESEAU;2;1;327;5
405;SNS BANK NV;3;9;126;3
406;SOCIETE GEN ACCEPTANCE;3;1;330;3
407;SOCIETE GENERALE;3;1;330;3
408;SOLVAY FINANCE;2;5;331;27
409;SOLVAY SA;2;5;331;27
410;SPAREBANK 1 SMN;3;17;332;3
411;SPAREBANK 1 SR BANK;3;17;333;3
412;SSE PLC;2;10;334;12
413;STANDARD CHARTERED BANK;3;10;335;3
414;STANDARD CHARTERED PLC;3;10;335;3
415;STATKRAFT AS;2;17;336;12
416;SUDZUCKER INT FINANCE;2;2;337;11
417;SUEZ;2;1;338;49
418;SVENSKA CELLULOSA AB SCA;2;17;339;47
419;SVENSKA HANDELSBANKEN AB;3;17;340;3
420;SWEDBANK AB;3;17;341;3
421;SWEDISH MATCH AB;2;17;342;23
422;SWISS RE REASSURE LTD;3;16;344;4
423;SYDBANK A/S;3;11;345;3
424;TDC A/S;2;11;346;2
425;TELECOM ITALIA CAPITAL;2;8;347;2
426;TELEFONICA EMISIONES SAU;2;6;350;2
427;TELEKOM FINANZMANAGEMENT;2;4;351;2
428;TELENOR ASA;2;17;352;2
429;TELFONICA DEUTSCH FINAN;2;2;349;2
430;TELIA CO AB;2;17;353;2
431;TELSTRA CORP LTD;2;17;354;2
432;TENNET HOLDING BV;2;9;355;12
433;TEOLLISUUDEN VOIMA OYJ;2;15;356;12
434;TERNA SPA;2;8;357;12
435;TEVA PHARM FIN IV BV;2;17;358;32
436;THALES SA;2;1;359;21
437;TOTAL CAPITAL SA;2;1;360;16
438;TOTAL SA;2;1;360;16
439;TOYOTA MOTOR CREDIT CORP;2;17;361;19
440;TURKIYE GARANTI BANKASI;3;17;362;3
441;TURKIYE VAKIFLAR BANKASI;3;17;363;3
442;UBS AG JERSEY BRANCH;3;16;364;3
443;UBS AG LONDON;3;16;364;3
444;UBS GROUP FUNDING SWITZE;3;16;364;3
445;UNIBAIL-RODAMCO SE;3;1;365;36
446;UNICRED BANK IRELAND PLC;3;8;366;3
447;UNICREDIT BANK AG;3;2;366;3
448;UNICREDIT BK AUSTRIA AG;3;4;366;3
449;UNICREDIT SPA;3;8;366;3
450;UNIONE DI BANCHE ITALIAN;3;8;368;3
451;UNITED UTILIT WATER LTD;2;10;369;49
452;URENCO FINANCE NV;2;10;370;18
453;VALE SA;2;14;371;48
454;VALEO SA;2;1;372;7
455;VALLOUREC SA;2;1;373;42
456;VATTENFALL AB;2;17;374;12
457;VEOLIA ENVIRONNEMENT SA;2;1;375;49
458;VERBUND AG;2;4;376;12
459;VESTEDA FINANCE BV;3;9;377;31
460;VIENNA INSURANCE GRP AGW;3;4;378;4
461;VINCI SA;2;1;379;24
462;VIVENDI SA;2;1;380;8
463;VODAFONE GROUP PLC;2;10;381;2
464;VOITH GMBH;2;2;382;51
465;VOLKSWAGEN BANK GMBH;2;2;383;19
466;VOLKSWAGEN INTL FIN NV;2;2;383;19
467;VOLKSWAGEN LEASING GMBH;2;2;383;19
468;VOLVO TREASURY AB;2;17;384;19
469;VONOVIA FINANCE BV;3;2;385;31
470;VORARLBERG LND-HYPOBK AG;3;4;366;3
471;VOTORANTIM CIMENTOS SA;2;14;386;38
472;WELLS FARGO & CO;3;3;387;3
473;WELLS FARGO & COMPANY;3;3;387;3
474;WENDEL SA;2;1;388;33
475;WESTPAC BANKING CORP;3;17;389;3
476;WESTPAC SEC NZ/LONDON;3;17;389;3
477;WHIRLPOOL FINANCE LU;2;1;390;54
478;WL BANK;3;2;391;3
479;WOLTERS KLUWER NV;2;9;392;8
480;WPP PLC;2;10;393;9
481;WUERTH FINANCE INTL BV;2;2;394;52
482;YORKSHIRE BUILDING SOC;3;10;395;22
483;ZAPADOSLOVENSKA ENRG AS;2;17;396;12
484;ZURICH INSURANCE CO;3;16;397;4
485;NON RELEVANT;0;0;0;0
